Mouse	Human	Merged Taxa
Aatf	AATF	TF
Aes	AES	Co_factor
Aff3	AFF3	TF
Ahr	AHR	TF
Aire	AIRE	TF
Alx1	ALX1	TF
Apex1	APEX1	Co_factor
Ar	AR	TF
Arid1a	ARID1A	TF
Arid1b	ARID1B	Co_factor
Arid2	ARID2	Co_factor
Arid3a	ARID3A	TF
Arid3b	ARID3B	TF
Arid3c	ARID3C	Chromatin_remodeller
Arid4a	ARID4A	Co_factor
Arid4b	ARID4B	Chromatin_remodeller
Arid5b	ARID5B	TF
Arnt	ARNT	TF
Arnt2	ARNT2	TF
Arntl	ARNTL	TF
Arx	ARX	TF
Ascc1	ASCC1	Co_factor
Ascl1	ASCL1	Co_factor
Ascl3	ASCL3	TF
Atf2	ATF2	TF
Atf3	ATF3	TF
Atf4	ATF4	TF
Atf5	ATF5	TF
Atf6	ATF6	Co_factor
Atf7	ATF7	TF
Atf7ip	ATF7IP	Co_factor
Atm	ATM	Co_factor
Atoh1	ATOH1	TF
Atoh7	ATOH7	TF
Atoh8	ATOH8	TF
Atr	ATR	Chromatin_remodeller
Bach1	BACH1	TF
Bach2	BACH2	TF
Bag1	BAG1	Co_factor
Barhl1	BARHL1	Co_factor
Barx1	BARX1	TF
Barx2	BARX2	TF
Batf	BATF	Co_factor
Bcl3	BCL3	Co_factor
Bcl6	BCL6	TF
Bcor	BCOR	Co_factor
Bdp1	BDP1	TF
Bhlhb2	BHLHB2	Co_factor
Bhlhb2	BHLHE40	Co_factor
Bhlhb3	BHLHB3	Co_factor
Bhlhb3	BHLHE41	Co_factor
Blzf1	BLZF1	Co_factor
Bmi1	BMI1	Chromatin_remodeller
Bptf	BPTF	TF
Brd4	BRD4	Chromatin_remodeller
Brd7	BRD7	Chromatin_remodeller
Brf1	BRF1	TF
Btaf1	BTAF1	TF
C1d	C1D	Co_factor
Camta2	CAMTA2	Co_factor
Cbfa2t3	CBFA2T3	Co_factor
Ccnt1	CCNT1	Co_factor
Ccnt2	CCNT2	Co_factor
Cdc6	CDC6	Chromatin_remodeller
Cdk7	CDK7	Co_factor
Cdk8	CDK8	Co_factor
Cdk9	CDK9	Co_factor
Cdkn1a	CDKN1A	Co_factor
Cdkn2a	CDKN2A	Co_factor
Cdx1	CDX1	TF
Cdx2	CDX2	TF
Cebpa	CEBPA	TF
Cebpb	CEBPB	TF
Cebpd	CEBPD	TF
Cebpe	CEBPE	TF
Cebpg	CEBPG	TF
Cebpz	CEBPZ	Co_factor
Cic	CIC	TF
Ciita	CIITA	Co_factor
Cited1	CITED1	Co_factor
Cited2	CITED2	Co_factor
Cited4	CITED4	Co_factor
Clock	CLOCK	TF
Cnot3	CNOT3	Co_factor
Cops2	COPS2	Co_factor
Creb1	CREB1	TF
Creb3	CREB3	Co_factor
Creb3l1	CREB3L1	TF
Creb3l3	CREB3L3	TF
Creb3l4	CREB3L4	TF
Crebbp	CREBBP	Chromatin_remodeller
Creg1	CREG1	Co_factor
Crem	CREM	TF
Crx	CRX	TF
Ctbp1	CTBP1	Co_factor
